Lunes,Martes,Miercoles,Jueves,Viernes
1.67386903375e+11,1.59113659051e+11,55259982.3007,1070556217.38,79920740.9179
72105444.7584,9.65826093433e+11,1.58417744584e+11,1.15268361272e+11,1.34898163181e+11
159021536.35,1.97576620764e+11,1.20054293169e+11,62065072.4315,78916822.5192
1.55249682304e+11,2.27074219996e+11,3.14335285516e+11,93649615.9568,5.42903322177e+11
1.22360381892e+11,334014617.33,29515648.0116,1.90629954586e+11,1.90078525384e+11
3.49251236834e+11,1.40022930256e+11,2.09342022454e+11,94077768.9432,90397363.8375
24608837.1851,8135293.3844,61056572.2944,86244468707.0,1.33452805913e+11
1.76123745254e+11,2.06226265302e+11,2.00937672372e+11,1.89014470316e+11,1.46222336193e+11
73502088.9397,314137363.35,3.17943104029e+11,3.59304168644e+11,1.33495379448e+11
8.93911782996e+11,4.69154930938e+11,27821125.7684,2.54397400085e+11,1.30754386227e+11
25213002.1338,1.59816518664e+11,2.39958141527e+11,0.0,420287977.19
22354287.3312,50502001.5054,3.14690329873e+11,99273321.1367,32440216.9042
121724243.28,1.09719167763e+11,1.25374453913e+11,7.78238721209e+11,2.65946735461e+11
19565365465.0,6.34652021234e+11,59516948.8741,1.76726686895e+11,4.89955792624e+11
1.83367000645e+11,103766550.88,2.53582761699e+11,51205880.4858,69040726.1765
4.47603473793e+11,2.75910953207e+11,91858318.2595,59829811.8261,3217520.32828
3.66955202505e+11,1.71045700194e+11,13473628.7916,1.13556788535e+11,5.19706125624e+11
26409410.7296,62614719.2737,258174416.26,2.37321161863e+11,1.17102175199e+11
3.34202541332e+11,5.32202271291e+11,1.09764077116e+11,1.56825820842e+11,4.52570828379e+11
2.83290798712e+11,1.20041896311e+11,7.26722737453e+11,4.21812605827e+11,6.54977494961e+11
2.03697812935e+11,62038701.4679,5.38607507466e+11,2.44555101514e+11,4.53986295976e+11
3789730.37184,2.88969174298e+11,91488687.9532,3.76583905801e+11,6.79978411155e+11
9.23481490687e+11,40631171.0338,0.0,2.46478542277e+11,3.21290385073e+11
3.49151921692e+11,71784850.6604,56840505.6544,6104046.50891,3.27134246716e+11
1.86856261513e+11,1.33555007859e+11,55950328.5765,4.26262840193e+11,79856677.9405
152085593.25,1.79792976173e+11,32417190.1624,18711045.2508,96933921.4357
4.25627384435e+11,4.22356367276e+11,8770388.91256,3.58775400789e+11,1.36509028773e+11
83883947.7636,7.21704596876e+11,2470168.44829,73049838.6476,1.46564209155e+11
7.90452122525e+11,24205034.4339,87517248.2909,1.50380216726e+11,2.07191575795e+11
72930335.9592,1.23547303196e+11,2.39958438964e+11,4.62186330636e+11,1.49339922558e+11
98956900.7762,1.38943245358e+11,47380981.7616,3.90243158098e+11,2.50822552854e+11
1.46424485329e+11,3336685.49517,2.19161263509e+11,1.59175910709e+11,231737292.72
1.86024293119e+11,21023828599.0,2.47196594692e+11,6.06562377979e+11,6947042.67412
0.0,92675483.2771,1.78523220276e+11,1.53481646083e+11,38600797.5818
1.74707807607e+11,2.20018553307e+11,41228746.5003,1.44893477002e+11,1.26215233369e+11
2.55100180702e+11,1097391699.0,3.37676234777e+11,84599312.6329,23367273.4039
278585195.74,6.08032575877e+11,3.17523856759e+11,7.61274219553e+11,1.91050263764e+11
4.79741119605e+11,72450718.6299,1.29420319605e+11,3.64383951775e+11,1.89329309097e+11
94502097.0819,1.26321383118e+11,2.51791715115e+11,1.89286183508e+11,1.38443713815e+11
2.54308330991e+11,2.83552154383e+11,2.02741974948e+11,4.93099184126e+11,1.25908266989e+11
4.07577165617e+11,1.99507258901e+11,63220125.4234,2.17236994056e+11,2.48929506574e+11
96263077.6311,450486905.31,3.47540543034e+11,2570007.65381,16971533.7362
