X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.80356253784897,-75.7330299663328,4.81058080117079,-75.7163262630983,"[4.803838799999999, -75.733099]","[4.8032716, -75.7370712]",457.0,94.0,3.493829019827343
,,,,"[4.8032716, -75.7370712]","[4.8073308, -75.7307951]",1001.0,128.0,0.6371713312039481
,,,,"[4.8073308, -75.7307951]","[4.807261899999999, -75.7237356]",829.0,83.0,1.1556838490683172
,,,,"[4.807261899999999, -75.7237356]","[4.8077729, -75.7110134]",1527.0,185.0,2.940728231679963
,,,,"[4.8077729, -75.7110134]","[4.8077454, -75.71144989999999]",69.0,32.0,1.806437936365453
,,,,"[4.8077454, -75.71144989999999]","[4.8086, -75.71437]",350.0,57.0,1.2817641020735135
,,,,"[4.8086, -75.71437]","[4.80922, -75.71571999999999]",181.0,39.0,1.3941558183900566
,,,,"[4.80922, -75.71571999999999]","[4.809565, -75.717106]",158.0,32.0,3.9351258451548143
,,,,"[4.809565, -75.717106]","[4.809915699999999, -75.716798]",65.0,36.0,1.585601980486939
4.81206216191674,-75.7329820340608,4.80918997870924,-75.7586012624098,"[4.8122082, -75.7329931]","[4.8122527, -75.73427439999999]",143.0,37.0,0.8191027932070484
,,,,"[4.8122527, -75.73427439999999]","[4.811967399999999, -75.73436889999999]",44.0,29.0,5.057914136069958
,,,,"[4.811967399999999, -75.73436889999999]","[4.8097861, -75.73492999999999]",600.0,82.0,8.152853807185402
,,,,"[4.8097861, -75.73492999999999]","[4.8090249, -75.73551270000002]",107.0,22.0,4.062548292681765
,,,,"[4.8090249, -75.73551270000002]","[4.8061831, -75.7620784]",3858.0,424.0,0.8056982649736518
,,,,"[4.8061831, -75.7620784]","[4.80798, -75.7611]",227.0,43.0,0.36471206752679036
,,,,"[4.80798, -75.7611]","[4.8086019, -75.7598883]",178.0,36.0,3.173862095124563
,,,,"[4.8086019, -75.7598883]","[4.8080883, -75.7585486]",159.0,32.0,2.8989421694760757
,,,,"[4.8080883, -75.7585486]","[4.8085629, -75.7582828]",60.0,32.0,4.827996116903904
,,,,"[4.8085629, -75.7582828]","[4.8087309, -75.75871300000001]",51.0,23.0,3.5359045218173883
,,,,"[4.8087309, -75.75871300000001]","[4.8087723, -75.758601]",14.0,4.0,4.329406213868321
4.8064299344107,-75.72610359798979,4.807057009392231,-75.751976838018,"[4.8068184, -75.7265324]","[4.807261899999999, -75.7237356]",373.0,72.0,3.2099871555495034
,,,,"[4.807261899999999, -75.7237356]","[4.8090249, -75.73551270000002]",1714.0,171.0,1.0721686056223378
,,,,"[4.8090249, -75.73551270000002]","[4.809159999999999, -75.73719]",186.0,20.0,1.0564048615060426
,,,,"[4.809159999999999, -75.73719]","[4.8068813, -75.74238869999999]",674.0,72.0,1.007903104564671
,,,,"[4.8068813, -75.74238869999999]","[4.805467, -75.7509832]",1007.0,216.0,0.9778467328819472
,,,,"[4.805467, -75.7509832]","[4.8063217, -75.75096669999999]",95.0,17.0,2.740123465026177
,,,,"[4.8063217, -75.75096669999999]","[4.807058899999999, -75.7519657]",149.0,24.0,2.9165176928540113
4.80854640119972,-75.7610572599676,4.80805481353943,-75.7647078930541,"[4.8086037, -75.7610358]","[4.8088242, -75.7616014]",67.0,13.0,0.6949503654323186
,,,,"[4.8088242, -75.7616014]","[4.8081605, -75.76215739999999]",96.0,38.0,5.223073823849502
,,,,"[4.8081605, -75.76215739999999]","[4.807659999999999, -75.76127]",121.0,24.0,1.5181327202960049
,,,,"[4.807659999999999, -75.76127]","[4.8061831, -75.7620784]",187.0,34.0,0.07081452547549386
,,,,"[4.8061831, -75.7620784]","[4.8078655, -75.7648]",356.0,37.0,1.613882816021989
4.80226116796014,-75.73176285869529,4.809019010899929,-75.7169956914341,"[4.8022961, -75.7318119]","[4.802194699999999, -75.7318852]",14.0,3.0,17.247357401667674
,,,,"[4.802194699999999, -75.7318852]","[4.802140000000001, -75.73223999999999]",55.0,15.0,10.618138735645168
,,,,"[4.802140000000001, -75.73223999999999]","[4.80233, -75.7325199]",38.0,13.0,0.7670875315540403
,,,,"[4.80233, -75.7325199]","[4.8027, -75.7334599]",143.0,64.0,2.407074655929969
,,,,"[4.8027, -75.7334599]","[4.8032288, -75.7333721]",60.0,24.0,9.987322808769019
,,,,"[4.8032288, -75.7333721]","[4.803599999999999, -75.73406]",93.0,22.0,1.2570847268598375
,,,,"[4.803599999999999, -75.73406]","[4.8032716, -75.7370712]",347.0,78.0,2.3872059757559385
,,,,"[4.8032716, -75.7370712]","[4.8073308, -75.7307951]",1001.0,128.0,0.6371713312039481
,,,,"[4.8073308, -75.7307951]","[4.807261899999999, -75.7237356]",829.0,83.0,1.1556838490683172
,,,,"[4.807261899999999, -75.7237356]","[4.8077729, -75.7110134]",1527.0,185.0,2.940728231679963
,,,,"[4.8077729, -75.7110134]","[4.8077454, -75.71144989999999]",69.0,32.0,1.806437936365453
,,,,"[4.8077454, -75.71144989999999]","[4.8086, -75.71437]",350.0,57.0,1.2817641020735135
,,,,"[4.8086, -75.71437]","[4.80922, -75.71571999999999]",181.0,39.0,1.3941558183900566
,,,,"[4.80922, -75.71571999999999]","[4.8097329, -75.717793]",237.0,46.0,3.402004376050698
,,,,"[4.8097329, -75.717793]","[4.80922, -75.717202]",111.0,37.0,1.3228246883391475
4.81875450501496,-75.7362418537298,4.80637130203025,-75.73916085117371,"[4.8184654, -75.73641239999999]","[4.8161285, -75.7166739]",2400.0,233.0,2.3400684873417186
,,,,"[4.8161285, -75.7166739]","[4.8159513, -75.7185572]",248.0,63.0,0.1345082068767494
,,,,"[4.8159513, -75.7185572]","[4.8136, -75.73313999999999]",1685.0,162.0,0.8998390490074466
,,,,"[4.8136, -75.73313999999999]","[4.8130851, -75.7342666]",163.0,48.0,3.3420519329389573
,,,,"[4.8130851, -75.7342666]","[4.811967399999999, -75.73436889999999]",130.0,35.0,4.20715815113554
,,,,"[4.811967399999999, -75.73436889999999]","[4.8097861, -75.73492999999999]",600.0,82.0,8.152853807185402
